category,kind,directory,asset,model,author,license,confidence,score,faces,url
Starships,individual,Individuals/079,079,X-wing starfighter | T-65C-A2,Alana G,,inherited,1.0,,https://sketchfab.com/3d-models/none-2397144aa2314e8fb03bf131d8f56af4
Starships,individual,Individuals/1-138,1-138,Kei Truck Scout Transport,JohnMesplay,,inherited,1.0,,https://sketchfab.com/3d-models/none-0cb4b243a9dd4d1ca1ab30a17f23ac81
Starships,individual,Individuals/10114,10114,X-wing starfighter | T-65C-A2,Alana G,,inherited,1.0,,https://sketchfab.com/3d-models/none-2397144aa2314e8fb03bf131d8f56af4
Starships,individual,Individuals/10127,10127,X-wing starfighter | T-65C-A2,Alana G,,inherited,1.0,,https://sketchfab.com/3d-models/none-2397144aa2314e8fb03bf131d8f56af4
Starships,individual,Individuals/10291,10291,X-wing starfighter | T-65C-A2,Alana G,,inherited,1.0,,https://sketchfab.com/3d-models/none-2397144aa2314e8fb03bf131d8f56af4
Starships,individual,Individuals/124,124,Star Wars: Raider-class Corvette,Daniel,,inherited,1.0,,https://sketchfab.com/3d-models/none-8732794c82044aafb1c74a55b07674e0
Starships,individual,Individuals/13X,13X,Star Wars: Imperial II Star Destroyer,Daniel,,inherited,1.0,,https://sketchfab.com/3d-models/none-b8bd2d35f7604670ab85242c06c6d280
Starships,individual,Individuals/327-A,327-A,Naboo Royal Starship (J-type 327 Nubian),hobbit84,,strong,0.769,,https://sketchfab.com/3d-models/none-f631077977754b5591298ecfa201380b
Starships,individual,Individuals/337,337,Star Wars: Raider-class Corvette,Daniel,,inherited,1.0,,https://sketchfab.com/3d-models/none-8732794c82044aafb1c74a55b07674e0
Starships,individual,Individuals/49AX3,49AX3,Star Wars Dreadnaught-Class Heavy Cruiser,flannelandfilm,,inherited,1.0,,https://sketchfab.com/3d-models/none-14e6ad1266104dec96541b17000925f2
Starships,individual,Individuals/5-A,5-A,LEGO Star Wars Darth Vader,Gisduyg,,exact,1.0,,https://sketchfab.com/3d-models/none-fcc27b9d42db4bf99b7d229fca964424
Starships,individual,Individuals/622,622,Venator-Class Star Destroyer,A308 Digital,,inherited,1.0,,https://sketchfab.com/3d-models/none-5c2d88be90384395a2b4c23c7203e7d6
Starships,individual,Individuals/688,688,Star Wars: Raider-class Corvette,Daniel,,inherited,1.0,,https://sketchfab.com/3d-models/none-8732794c82044aafb1c74a55b07674e0
Starships,individual,Individuals/775519,775519,Star Wars: Lambda Shuttle,Daniel,,inherited,1.0,,https://sketchfab.com/3d-models/none-9d160e16845a4b518a2d30a7c716f20d
Starships,individual,Individuals/775519 (Legends),775519,Star Wars: Lambda Shuttle,Daniel,,inherited,1.0,,https://sketchfab.com/3d-models/none-9d160e16845a4b518a2d30a7c716f20d
Starships,individual,Individuals/836-VS,836-VS,Star Wars: Gamma-class Assault Shuttle,Daniel,,inherited,1.0,,https://sketchfab.com/3d-models/none-1a0571dca4c0436d8faff6fdbb948c17
Starships,individual,Individuals/AA-589 (Legends),AA-589,X-wing starfighter | T-65C-A2,Alana G,,inherited,1.0,,https://sketchfab.com/3d-models/none-2397144aa2314e8fb03bf131d8f56af4
Starships,individual,Individuals/AG-37's freighter,AG-37's freighter,"YTS-27 light freighter ""The Kowakian Corsair""",JP_2793,,inherited,1.0,,https://sketchfab.com/3d-models/none-3e187fed67034c488a0a9e41eae36628
